+-------------+------+--------+---------+-----------+
|  series id  | year | period |  value  | footnotes |
| SUUR0000SA0 | 2004 |  M07   |  110.7  |           |
| SUUR0000SA0 | 2004 |  M06   |  110.8  |           |
| SUUR0000SA0 | 2004 |  M05   |  110.6  |           |
| SUUR0000SA0 | 2004 |  M04   |  110.0  |           |
| SUUR0000SA0 | 2004 |  M03   |  109.7  |           |
| SUUR0000SA0 | 2004 |  M02   |  109.1  |           |
| SUUR0000SA0 | 2004 |  M01   |  108.5  |           |
| SUUR0000SA0 | 2003 |  M12   |  107.8  |           |
| SUUR0000SA0 | 2003 |  M11   |  108.0  |           |
| SUUR0000SA0 | 2003 |  M10   |  108.4  |           |
| SUUR0000SA0 | 2003 |  M09   |  108.5  |           |
| SUUR0000SA0 | 2003 |  M08   |  108.2  |           |
| SUUR0000SA0 | 2003 |  M07   |  107.7  |           |
| SUUR0000SA0 | 2003 |  M06   |  107.6  |           |
| SUUR0000SA0 | 2003 |  M05   |  107.5  |           |
| SUUR0000SA0 | 2003 |  M04   |  107.7  |           |
| SUUR0000SA0 | 2003 |  M03   |  107.9  |           |
| SUUR0000SA0 | 2003 |  M02   |  107.3  |           |
| SUUR0000SA0 | 2003 |  M01   |  106.5  |           |
+-------------+------+--------+---------+-----------+
